,Player,Share,predictions,Predicted_Rk,Rk,Diff,Year
0,David Robinson,0.508,0.215990484268981,1,2,1,1996
1,Shaquille O'Neal,0.056,0.2145235457330313,2,9,7,1996
2,Hakeem Olajuwon,0.211,0.2099021393430388,3,4,1,1996
3,Karl Malone,0.075,0.18583481906911178,4,7,3,1996
4,Michael Jordan,0.986,0.18185823026063905,5,1,-4,1996
5,Karl Malone,0.857,0.19753161033261887,1,1,0,1997
6,Shaquille O'Neal,0.006,0.1973973638621655,2,10,8,1997
7,Michael Jordan,0.832,0.1747654213483887,3,2,-1,1997
8,Hakeem Olajuwon,0.083,0.14029326230366787,4,7,3,1997
9,David Robinson,0.0,0.132416950074515,5,265,260,1997
10,Shaquille O'Neal,0.268,0.20155347643246507,1,4,3,1998
11,Karl Malone,0.726,0.19239305544947607,2,2,0,1998
12,Michael Jordan,0.934,0.15980037850740372,3,1,-2,1998
13,David Robinson,0.031,0.1524388738385157,4,7,3,1998
14,Patrick Ewing,0.0,0.11439144932872103,5,270,265,1998
15,Shaquille O'Neal,0.075,0.1252685241641494,1,6,5,1999
16,Karl Malone,0.701,0.08530527815673344,2,1,-1,1999
17,Hakeem Olajuwon,0.003,0.0680903927033033,3,13,10,1999
18,David Robinson,0.005,0.06684548770811513,4,12,8,1999
19,Tim Duncan,0.627,0.04403145557425978,5,3,-2,1999
20,Shaquille O'Neal,0.998,0.23561954611797586,1,1,0,2000
21,Karl Malone,0.258,0.16641963266854748,2,4,2,2000
22,Alonzo Mourning,0.303,0.14173932149104324,3,3,0,2000
23,Chris Webber,0.079,0.13464676516022298,4,9,5,2000
24,David Robinson,0.0,0.12547736082757227,5,287,282,2000
25,Shaquille O'Neal,0.466,0.26233373881954947,1,3,2,2001
26,Chris Webber,0.42,0.15985692823975373,2,4,2,2001
27,Tim Duncan,0.569,0.1394112154995968,3,2,-1,2001
28,Karl Malone,0.017,0.13794963979947386,4,7,3,2001
29,Kevin Garnett,0.122,0.12395925550812673,5,5,0,2001
30,Shaquille O'Neal,0.552,0.22762064563899584,1,3,2,2002
31,Tim Duncan,0.757,0.1442054280524286,2,1,-1,2002
32,Chris Webber,0.029,0.13603388462515764,3,7,4,2002
33,Tracy McGrady,0.31,0.12867189416799224,4,4,0,2002
34,Dirk Nowitzki,0.025,0.11610620405387143,5,8,3,2002
35,Shaquille O'Neal,0.106,0.20709509255375208,1,5,4,2003
36,Tracy McGrady,0.359,0.15789969153887806,2,4,2,2003
37,Kevin Garnett,0.732,0.15776702067373283,3,2,-1,2003
38,Tim Duncan,0.808,0.15662734849501633,4,1,-3,2003
39,Dirk Nowitzki,0.036,0.13739160008848253,5,7,2,2003
40,Kevin Garnett,0.991,0.19002677575735755,1,1,0,2004
41,Tim Duncan,0.582,0.18882993609423454,2,2,0,2004
42,Shaquille O'Neal,0.145,0.1860583224673613,3,6,3,2004
43,Jermaine O'Neal,0.425,0.1078709446651907,4,3,-1,2004
44,Dirk Nowitzki,0.003,0.1012912923233246,5,12,7,2004
45,Shaquille O'Neal,0.813,0.21038674095244264,1,2,1,2005
46,Kevin Garnett,0.012,0.16555284772897014,2,11,9,2005
47,Tim Duncan,0.258,0.15925895540646995,3,4,1,2005
48,Amar'e Stoudemire,0.032,0.1544762157643921,4,10,6,2005
49,Dirk Nowitzki,0.275,0.14822579917228879,5,3,-2,2005
50,LeBron James,0.55,0.1880915534605123,1,2,1,2006
51,Shaquille O'Neal,0.0,0.16921848522793145,2,340,338,2006
52,Elton Brand,0.04,0.14455743651557654,3,7,4,2006
53,Kobe Bryant,0.386,0.141659263888231,4,4,0,2006
54,Dwyane Wade,0.07,0.14111419748583606,5,6,1,2006
55,Tim Duncan,0.222,0.15340967977937875,1,4,3,2007
56,LeBron James,0.142,0.1477039675157215,2,5,3,2007
57,Dwyane Wade,0.002,0.13791513882550072,3,12,9,2007
58,Shaquille O'Neal,0.002,0.13612821933712663,4,13,9,2007
59,Kevin Garnett,0.005,0.12811405042298876,5,9,4,2007
60,LeBron James,0.348,0.18585276600701506,1,4,3,2008
61,Amar'e Stoudemire,0.021,0.15323346127586782,2,6,4,2008
62,Dwight Howard,0.048,0.15093777082385668,3,5,2,2008
63,Kevin Garnett,0.532,0.12534369249700214,4,3,-1,2008
64,Chris Paul,0.71,0.12415390037608212,5,2,-3,2008
65,LeBron James,0.969,0.19015767928101157,1,1,0,2009
66,Dwyane Wade,0.562,0.179531482232672,2,3,1,2009
67,Dwight Howard,0.271,0.1556189808513332,3,4,1,2009
68,Chris Paul,0.159,0.14929726445673863,4,5,1,2009
69,Tim Duncan,0.002,0.12831443805121745,5,11,6,2009
70,LeBron James,0.98,0.21032291150087096,1,1,0,2010
71,Dwyane Wade,0.097,0.1406565409840172,2,5,3,2010
72,Dwight Howard,0.389,0.13899561815084988,3,4,1,2010
73,Tim Duncan,0.0,0.11124115137439286,4,263,259,2010
74,Dirk Nowitzki,0.045,0.11112040208937207,5,7,2,2010
75,Dwight Howard,0.531,0.17042773349530213,1,2,1,2011
76,LeBron James,0.431,0.15696147474521938,2,3,1,2011
77,Dwyane Wade,0.02,0.1268308637918425,3,7,4,2011
78,Blake Griffin,0.004,0.11436102849394915,4,10,6,2011
79,Dirk Nowitzki,0.093,0.1134228171713206,5,6,1,2011
80,Dwight Howard,0.011,0.18266756960631583,1,7,6,2012
81,LeBron James,0.888,0.1726156046713959,2,1,-1,2012
82,Kevin Durant,0.735,0.12676352063303656,3,2,-1,2012
83,Blake Griffin,0.0,0.12577266755148678,4,308,304,2012
84,Dwyane Wade,0.005,0.11152295846364979,5,10,5,2012
85,LeBron James,0.998,0.20128882161838232,1,1,0,2013
86,Kevin Durant,0.632,0.14524764696573084,2,2,0,2013
87,Dwight Howard,0.0,0.1254362814633218,3,291,288,2013
88,Tim Duncan,0.054,0.12283377922688987,4,7,3,2013
89,Dwyane Wade,0.004,0.10854886272986308,5,10,5,2013
90,Kevin Durant,0.986,0.17721054224991994,1,1,0,2014
91,LeBron James,0.713,0.17191632779999455,2,2,0,2014
92,Kevin Love,0.02,0.13257432589443735,3,11,8,2014
93,Blake Griffin,0.347,0.12600805529943673,4,3,-1,2014
94,Dwight Howard,0.0,0.11971302962704694,5,291,286,2014
95,Anthony Davis,0.156,0.16216755357499496,1,5,4,2015
96,LeBron James,0.425,0.14645829285064474,2,3,1,2015
97,Russell Westbrook,0.271,0.1346760525928651,3,4,1,2015
98,James Harden,0.72,0.12745184515601368,4,2,-2,2015
99,Kevin Durant,0.0,0.1272517607419028,5,289,284,2015
100,Stephen Curry,1.0,0.17733084504095073,1,1,0,2016
101,Kevin Durant,0.112,0.16009163954704525,2,5,3,2016
102,LeBron James,0.482,0.15937472478182163,3,3,0,2016
103,DeMarcus Cousins,0.0,0.14812057290363279,4,295,291,2016
104,James Harden,0.007,0.14058989472347155,5,9,4,2016
105,Russell Westbrook,0.879,0.195381166498,1,1,0,2017
106,James Harden,0.746,0.18179719578126668,2,2,0,2017
107,LeBron James,0.33,0.17934006495141183,3,4,1,2017
108,Kevin Durant,0.002,0.1779043345644572,4,10,6,2017
109,Anthony Davis,0.002,0.1667293642321496,5,9,4,2017
110,LeBron James,0.731,0.19535187375402646,1,2,1,2018
111,James Harden,0.955,0.19235206804149463,2,1,-1,2018
112,Anthony Davis,0.441,0.17668465991672863,3,3,0,2018
113,Giannis Antetokounmpo,0.074,0.16364180526123026,4,6,2,2018
114,Kevin Durant,0.065,0.15738008826549552,5,7,2,2018
115,Giannis Antetokounmpo,0.932,0.22543513887665131,1,1,0,2019
116,James Harden,0.768,0.2039335488119813,2,2,0,2019
117,LeBron James,0.001,0.18142638277250392,3,11,8,2019
118,Joel Embiid,0.049,0.1752818172747708,4,7,3,2019
119,Anthony Davis,0.0,0.1687970298342005,5,308,303,2019
120,Giannis Antetokounmpo,0.952,0.24813166390865235,1,1,0,2020
121,James Harden,0.363,0.1977717306090977,2,3,1,2020
122,Luka Dončić,0.198,0.17423698619710426,3,4,1,2020
123,LeBron James,0.746,0.1704164346468425,4,2,-2,2020
124,Anthony Davis,0.081,0.1540413526377427,5,6,1,2020
125,Giannis Antetokounmpo,0.345,0.21398906199269552,1,4,3,2021
126,Joel Embiid,0.58,0.17086787113109153,2,2,0,2021
127,Nikola Jokić,0.961,0.1609859029451629,3,1,-2,2021
